;ARMAZEM;;;;LOJA_1;;;;;LOJA_2;;;;;LOJA_3
DIA;entra;sai;stock;PEDIDO;chega;vende;quebra;stock;PEDIDO;                        chega;vende;quebra;stock;PEDIDO;chega;vende;quebra;stock;PEDIDO
120;  0;  0; 73;  0;  0;  4;  0; 19;  0;  0;  5;  0; 53;  0;  0;  4;  0; 29;  0;23871.611
121;  0;  0; 73;  0;  0;  1;  0; 18;  0;  0;  3;  0; 50;  0;  0;  0;  0; 29;  0;23984.020
122;  0;  0; 73;  0;  0;  4;  0; 14;  0;  0;  1;  0; 49;  0;  0;  4;  0; 25;  0;24246.861
123;  0;  0; 73;  0;  0;  5;  0;  9;  0;  0;  5;  0; 44;  0;  0;  3;  0; 22;  0;24630.325
124;  0;  0; 73;  0;  0;  3;  0;  6;  0;  0;  2;  0; 42;  0;  0;  3;  0; 19;  0;24864.173
125;  0;  0; 73;  0;  0;  1;  0;  5;  0;  0;  4;  0; 38;  0;  0;  3;  0; 16;  0;25098.404
126;  0; 40; 33;  0;  0;  0;  0;  5; 40;  0;  1;  0; 37;  0;  0;  1;  0; 15;  0;25151.592
127;  0;  0; 33;  0;  0;  5;  0;  0;  0;  0;  3;  0; 34;  0;  0;  4;  0; 11;  0;25508.106
128;  0;  0; 33;  0;  0;  0;  5;  0;  0;  0;  5;  0; 29;  0;  0;  0;  0; 11;  0;25654.859
129;276;  0;309;  0; 40;  4;  0; 36;  0;  0;  4;  0; 25;  0;  0;  3;  0;  8;  0;25969.106
130;  0; 40;269;  0;  0;  2;  0; 34;  0;  0;  2;  0; 23;  0;  0;  0;  0;  8; 40;26072.406
131;  0; 40;229;  0;  0;  4;  0; 30;  0;  0;  3;  0; 20; 40;  0;  0;  0;  8;  0;26267.652
132;  0;  0;229;  0;  0;  2;  0; 28;  0;  0;  3;  0; 17;  0;  0;  4;  0;  4;  0;26526.080
133;  0;  0;229;  0;  0;  1;  0; 27;  0;  0;  5;  0; 12;  0; 40;  1;  0; 43;  0;26722.926
134;  0;  0;229;  0;  0;  3;  0; 24;  0; 40;  5;  0; 47;  0;  0;  4;  0; 39;  0;27068.429
135;  0;  0;229;  0;  0;  0;  0; 24;  0;  0;  5;  0; 42;  0;  0;  5;  0; 34;  0;27354.412
136;  0;  0;229;  0;  0;  1;  0; 23;  0;  0;  4;  0; 38;  0;  0;  5;  0; 29;  0;27640.874
137;  0;  0;229;  0;  0;  2;  0; 21;  0;  0;  5;  0; 33;  0;  0;  4;  0; 25;  0;27957.864
138;  0;  0;229;  0;  0;  3;  0; 18;  0;  0;  3;  0; 30;  0;  0;  3;  0; 22;  0;28215.285
139;  0;  0;229;  0;  0;  5;  0; 13;  0;  0;  4;  0; 26;  0;  0;  3;  0; 19;  0;28563.281
140;  0;  0;229;  0;  0;  2;  0; 11;  0;  0;  5;  0; 21;  0;  0;  4;  0; 15;  0;28881.805
141;  0;  0;229;  0;  0;  4;  0;  7;  0;  0;  2;  0; 19;  0;  0;  0;  0; 15;  0;29050.617
142;  0;  0;229;  0;  0;  2;  0;  5;  0;  0;  5;  0; 14;  0;  0;  5;  0; 10;  0;29400.003
143;  0; 40;189;  0;  0;  3;  0;  2; 40;  0;  1;  0; 13;  0;  0;  0;  0; 10;  0;29508.443
144;  0;  0;189;  0;  0;  0;  0;  2;  0;  0;  5;  0;  8;  0;  0;  4;  0;  6;  0;29770.064
145;  0;  0;189;  0;  0;  1;  0;  1;  0;  0;  4;  0;  4;  0;  0;  5;  0;  1;  0;30062.165
146;  0; 80;109;  0; 40;  4;  0; 37;  0;  0;  4;  0;  0; 40;  0;  1;  4;  0; 40;30320.501
147;  0;  0;109;276;  0;  2;  0; 35;  0;  0;  0;  4;  0;  0;  0;  0;  5;  0;  0;30174.433
148;  0;  0;109;  0;  0;  3;  0; 32;  0;  0;  0;  2;  0;  0;  0;  0;  0;  0;  0;30258.509
149;  0;  0;109;  0;  0;  4;  0; 28;  0; 40;  5;  0; 35;  0; 40;  2;  0; 38;  0;30579.276
150;  0;  0;109;  0;  0;  0;  0; 28;  0;  0;  3;  0; 32;  0;  0;  1;  0; 37;  0;30690.236
151;  0;  0;109;  0;  0;  4;  0; 24;  0;  0;  2;  0; 30;  0;  0;  4;  0; 33;  0;30981.675
152;  0;  0;109;  0;  0;  1;  0; 23;  0;  0;  1;  0; 29;  0;  0;  5;  0; 28;  0;31183.449
153;  0;  0;109;  0;  0;  2;  0; 21;  0;  0;  4;  0; 25;  0;  0;  2;  0; 26;  0;31415.607
154;  0;  0;109;  0;  0;  0;  0; 21;  0;  0;  2;  0; 23;  0;  0;  0;  0; 26;  0;31467.861
155;  0;  0;109;  0;  0;  5;  0; 16;  0;  0;  1;  0; 22;  0;  0;  5;  0; 21;  0;31790.643
156;  0;  0;109;  0;  0;  5;  0; 11;  0;  0;  3;  0; 19;  0;  0;  4;  0; 17;  0;32143.999
157;  0;  0;109;  0;  0;  4;  0;  7;  0;  0;  5;  0; 14;  0;  0;  0;  0; 17;  0;32407.788
158;  0;  0;109;  0;  0;  2;  0;  5;  0;  0;  2;  0; 12;  0;  0;  3;  0; 14;  0;32611.912
159;  0; 40; 69;  0;  0;  4;  0;  1; 40;  0;  5;  0;  7;  0;  0;  3;  0; 11;  0;32965.472
160;  0;  0; 69;  0;  0;  1;  0;  0;  0;  0;  3;  0;  4;  0;  0;  1;  0; 10;  0;33112.022
161;276; 40;305;  0;  0;  0;  2;  0;  0;  0;  1;  0;  3; 40;  0;  4;  0;  6;  0;33246.556
162;  0; 40;265;  0; 40;  2;  0; 38;  0;  0;  3;  2;  0;  0;  0;  2;  0;  4; 40;33441.120
163;  0;  0;265;  0;  0;  5;  0; 33;  0;  0;  0;  0;  0;  0;  0;  2;  0;  2;  0;33638.769
164;  0;  0;265;  0;  0;  0;  0; 33;  0; 40;  0;  0; 40;  0;  0;  2;  3;  0;  0;33684.597
165;  0;  0;265;  0;  0;  2;  0; 31;  0;  0;  4;  0; 36;  0; 40;  4;  0; 36;  0;33968.986
166;  0;  0;265;  0;  0;  2;  0; 29;  0;  0;  4;  0; 32;  0;  0;  4;  0; 32;  0;34253.854
167;  0;  0;265;  0;  0;  4;  0; 25;  0;  0;  1;  0; 31;  0;  0;  2;  0; 30;  0;34449.058
168;  0;  0;265;  0;  0;  1;  0; 24;  0;  0;  1;  0; 30;  0;  0;  3;  0; 27;  0;34584.502
169;  0;  0;265;  0;  0;  5;  0; 19;  0;  0;  1;  0; 29;  0;  0;  5;  0; 22;  0;34900.474
170;  0;  0;265;  0;  0;  1;  0; 18;  0;  0;  4;  0; 25;  0;  0;  0;  0; 22;  0;35036.685
171;  0;  0;265;  0;  0;  1;  0; 17;  0;  0;  1;  0; 24;  0;  0;  3;  0; 19;  0;35173.135
172;  0;  0;265;  0;  0;  0;  0; 17;  0;  0;  5;  0; 19;  0;  0;  1;  0; 18;  0;35339.874
173;  0;  0;265;  0;  0;  2;  0; 15;  0;  0;  2;  0; 17;  0;  0;  3;  0; 15;  0;35536.948
174;  0;  0;265;  0;  0;  4;  0; 11;  0;  0;  2;  0; 15;  0;  0;  4;  0; 11;  0;35824.501
175;  0; 40;225;  0;  0;  3;  0;  8; 40;  0;  3;  0; 12;  0;  0;  2;  0;  9;  0;36051.299
