;ARMAZEM;;;;LOJA_1;;;;;LOJA_2;;;;;LOJA_3
DIA;entra;sai;stock;PEDIDO;chega;vende;quebra;stock;PEDIDO;                        chega;vende;quebra;stock;PEDIDO;chega;vende;quebra;stock;PEDIDO
175;  0; 34;247;  0;  0;  2;  0; 12; 17;  0;  0;  0; 23;  0;  0;  0;  0; 13; 17;35079.666
176;  0;  0;247;  0;  0;  2;  0; 10;  0;  0;  5;  0; 18;  0;  0;  5;  0;  8;  0;35427.992
177;  0;  0;247;  0;  0;  3;  0;  7;  0;  0;  2;  0; 16;  0;  0;  1;  0;  7;  0;35596.606
178;  0; 17;230;  0; 17;  5;  0; 19;  0;  0;  5;  0; 11; 17; 17;  1;  0; 23;  0;35912.052
179;  0;  0;230;  0;  0;  2;  0; 17;  0;  0;  4;  0;  7;  0;  0;  3;  0; 20;  0;36170.680
180;  0;  0;230;  0;  0;  3;  0; 14;  0;  0;  1;  0;  6;  0;  0;  5;  0; 15;  0;36429.738
181;  0;  0;230;  0;  0;  4;  0; 10;  0; 17;  2;  0; 21;  0;  0;  5;  0; 10;  0;36748.510
182;  0; 34;196;  0;  0;  0;  0; 10; 17;  0;  3;  0; 18;  0;  0;  1;  0;  9; 17;36853.342
183;  0;  0;196;  0;  0;  1;  0;  9;  0;  0;  1;  0; 17;  0;  0;  4;  0;  5;  0;37023.962
184;  0;  0;196;  0;  0;  2;  0;  7;  0;  0;  3;  0; 14;  0;  0;  4;  0;  1;  0;37285.014
185;  0; 17;179;  0; 17;  5;  0; 19;  0;  0;  5;  0;  9; 17; 17;  5;  0; 13;  0;37723.089
186;  0;  0;179;  0;  0;  2;  0; 17;  0;  0;  4;  0;  5;  0;  0;  2;  0; 11;  0;37954.298
187;  0;  0;179;  0;  0;  0;  0; 17;  0;  0;  3;  0;  2;  0;  0;  1;  0; 10;  0;38065.698
188;  0;  0;179;  0;  0;  2;  0; 15;  0; 17;  5;  0; 14;  0;  0;  2;  0;  8;  0;38326.715
189;  0; 34;145;  0;  0;  1;  0; 14; 17;  0;  3;  0; 11;  0;  0;  1;  0;  7; 17;38463.841
190;  0;  0;145;  0;  0;  4;  0; 10;  0;  0;  1;  0; 10;  0;  0;  2;  0;  5;  0;38666.803
191;  0;  0;145;  0;  0;  3;  0;  7;  0;  0;  0;  0; 10;  0;  0;  1;  0;  4;  0;38779.956
192;  0; 17;128;  0; 17;  2;  0; 22;  0;  0;  1;  0;  9; 17; 17;  5;  0; 16;  0;39009.798
193;  0;  0;128;  0;  0;  1;  0; 21;  0;  0;  3;  0;  6;  0;  0;  2;  0; 14;  0;39182.677
194;  0;  0;128;  0;  0;  4;  0; 17;  0;  0;  2;  0;  4;  0;  0;  2;  0; 12;  0;39415.940
195;  0; 34; 94;  0;  0;  1;  0; 16; 17; 17;  1;  0; 20;  0;  0;  5;  0;  7; 17;39614.592
196;  0;  0; 94;276;  0;  0;  0; 16;  0;  0;  3;  0; 17;  0;  0;  4;  0;  3;  0;39619.080
